报告日期,模型,Python,TypeScript,Golang,C#,Java,C++
2025-09,GPT-5 Mini(high),8.96,8.75,8.4,8.18,9,7.29
2025-09,OpenAI o4 mini(high),9.17,8.06,7.35,8.65,7.89,6.04
2025-09,Claude Sonnet 4(Think),6.94,8.89,6.11,8.31,7.13,4.44
2025-09,Claude Sonnet 4,5.42,7.71,5.01,7.91,5.57,3.88
2025-09,Gemini 2.5 Pro,7.5,8.51,4.11,7.15,6.49,4.51
2025-09,DeepSeek V3.1(Think),7.36,9.38,5.17,8.7,5.01,6.19
2025-09,Doubao-Seed-1.6-thinking-0715,6.32,7.08,4.92,5.56,5.4,4.51
2025-09,Qwen3-Coder-480B-A35B,5.83,8.13,4.59,7.03,5.8,4.72
2025-09,Grok4,5.76,4.39,4.06,6.8,6.22,2.43
2025-09,GLM-4.5(Think),7.15,8.89,3.79,6.94,3.07,5.62
2025-09,Doubao-Seed-1.6(Think),5.42,4.91,6.18,6.31,5.66,3.04
2025-09,Gemini 2.5 flash(Think),5.28,5.15,2.88,7.98,6.97,2.43
2025-09,gpt-oss-20b(high),5.62,5.89,3.59,5.89,3.92,4.34
2025-09,GLM-4.5,6.11,6.94,3.54,5.01,2.94,4.55
2025-09,Qwen3-235B-A22B-Instruct-2507,6.18,5.97,4.27,5.7,4.32,5.08
2025-09,DeepSeek V3.1,5.69,8.06,4.62,6.2,3.73,3.41
2025-09,kimi-k2-0711-preview,3.96,4.17,2.44,5.28,5.1,4.65
2025-09,Doubao-Seed-1.6,3.33,5.63,2.56,5.41,2.73,1.63
2025-09,Grok Code Fast 1,4.65,5.91,1.76,4.67,4.75,4.66
2025-09,gpt-oss-120b(high),4.31,5.97,5.12,6.27,4.87,4.87
