报告日期,模型,0分率,异常率,修复后异常,中位分数,极限分数,修正极限,中位差距,成本(元),平均耗时(秒),Token,价格(元/百万),发布时间,备注
2025-10,GPT-5 Mini(high),2.78%,6.49%,0.93%,75.09,84.29,84.87,10.92%,¥7.87,145,18229,¥14.4,25-08-07,
2025-10,Claude Sonnet 4.5(Think),2.78%,0.93%,0.00%,62.68,70.37,71.53,10.93%,¥52.04,206,16062,¥108.0,25-09-29,
2025-10,Claude Sonnet 4(Think),2.78%,7.41%,1.85%,61.01,69.70,71.99,12.47%,¥43.73,168,13496,¥108.0,25-05-23,
2025-10,Claude Sonnet 4,7.41%,6.48%,0.93%,51.35,59.14,61.86,13.18%,¥7.13,30,2201,¥108.0,25-05-23,
2025-10,Gemini 2.5 Pro,7.41%,9.26%,1.85%,47.77,63.77,68.86,25.09%,¥12.81,103,5930,¥72.0,25-06-05,
2025-10,DeepSeek V3.1(Think),10.19%,8.33%,1.85%,47.50,69.68,71.53,31.83%,¥4.11,491,11426,¥12.0,25-08-19,
2025-10,Claude Sonnet 4.5,7.41%,12.04%,2.78%,43.20,52.41,59.12,17.57%,¥5.90,22,1822,¥108.0,25-09-29,
2025-10,GLM-4.6(Think),12.04%,14.82%,3.70%,40.15,58.16,60.71,30.97%,¥1.84,94,7675,¥8.0,25-09-30,
2025-10,Qwen3-Max,4.63%,18.52%,1.85%,39.39,54.73,58.85,28.03%,¥1.73,60,2408,¥24.0,25-09-24,
2025-10,Doubao-Seed-1.6-thinking-0715,12.96%,12.04%,2.78%,39.34,56.32,65.54,30.16%,¥8.30,677,34589,¥8.0,25-06-11,
2025-10,Qwen3-Coder-480B-A35B,10.19%,11.11%,6.48%,38.89,60.17,61.99,35.36%,¥0.89,43,1851,¥16.0,25-07-22,使用推荐温度0.7
2025-10,Qwen3-Max-Preview,10.19%,12.96%,1.85%,38.35,54.98,58.91,30.25%,¥1.52,49,2107,¥24.0,25-09-05,
2025-10,Grok4,11.11%,8.33%,0.93%,37.44,49.43,55.31,24.26%,¥61.38,290,18945,¥108.0,25-07-10,
2025-10,GLM-4.5(Think),7.41%,19.45%,4.63%,37.21,59.11,64.46,37.05%,¥3.41,335,14196,¥8.0,25-07-28,
2025-10,Doubao-Seed-1.6(Think),9.26%,15.74%,7.41%,36.70,52.54,53.35,30.14%,¥4.19,370,17465,¥8.0,25-06-11,
2025-10,Gemini 2.5 flash(Think),16.67%,12.04%,0.00%,36.34,51.15,57.86,28.96%,¥1.85,78,14092,¥4.4,25-05-20,
2025-10,gpt-oss-20b(high),12.04%,16.67%,4.63%,36.20,48.73,50.58,25.72%,¥0.24,30,5622,¥1.4,25-08-05,
2025-10,GLM-4.5,12.96%,11.12%,8.33%,35.42,48.48,49.18,26.95%,¥0.43,75,1798,¥8.0,25-07-28,
2025-10,Qwen3-235B-A22B-Instruct-2507,10.19%,17.59%,7.41%,33.22,52.54,59.02,36.76%,¥0.53,120,2205,¥8.0,25-07-21,
2025-10,GLM-4.6,15.74%,14.82%,7.41%,34.81,51.65,52.92,32.61%,¥0.40,22,1660,¥8.0,25-09-30,
2025-10,KAT-Coder,12.04%,24.07%,9.26%,33.97,43.55,48.41,22.01%,¥0.98,30,2039,¥16.0,25-09-26,
2025-10,DeepSeek V3.1,7.41%,24.07%,6.48%,32.69,52.84,55.32,38.14%,¥0.78,98,2165,¥12.0,25-08-19,
2025-10,kimi-k2-0905-preview,16.67%,17.60%,6.48%,28.90,45.15,46.98,35.98%,¥0.84,125,1745,¥16.0,25-09-05,使用推荐温度0.6
2025-10,kimi-k2-0711-preview,14.81%,12.96%,5.56%,27.70,42.66,43.40,35.07%,¥0.86,128,1784,¥16.0,25-07-11,使用推荐温度0.6
2025-10,Doubao-Seed-1.6,16.67%,19.44%,11.11%,25.54,35.51,36.71,28.07%,¥0.50,32,2092,¥8.0,25-06-11,
2025-10,Grok Code Fast 1,16.67%,9.26%,1.85%,25.06,44.01,47.29,43.06%,¥1.41,24,4350,¥10.8,25-08-27,
2025-10,gpt-oss-120b(high),17.59%,29.63%,8.33%,21.53,52.35,55.24,58.88%,¥0.48,39,4472,¥3.6,25-08-05,
