"模型","Python","TypeScript","Golang","C#","Java","C++","Think"
"GPT-5 Mini(high)","9.2","9.2","9.2","9.2","9.2","9.8","1"
"Claude Sonnet 4.5(Think)","8.88","8.83","7.18","7.72","9.22","7.17","1"
"Claude Sonnet 4.5","7.15","8.92","7.85","6.73","7.33","7.17","0"
"Gemini 2.5 pro","7.9","6.58","8.87","7.77","6.35","7.15","1"
"Gemini 2.5 flash 0925(Think)","9.27","7.4","2.83","6.65","7.73","7.88","1"
"DeepSeek V3.2(Think)","8.08","8.17","7.25","7.02","6.25","4.03","1"
"GLM-4.6(Think)","7.22","6.82","5.7","8.38","6.87","5.1","1"
"DeepSeek V3.2","6.72","7.08","5.62","6.33","7.75","5.67","0"
"Qwen3-Max","7.62","6.25","1.83","7.07","8.08","7.52","0"
"Gemini 2.5 flash 0925","6.53","7.43","4.25","8.7","5.9","5.43","0"
"Grok Code Fast 1(Think)","5.62","7.04","5.37","6.47","6.53","6.72","1"
"Doubao-Seed-1.6-thinking-0715","5.2","5.45","4.03","6.33","7.12","6.77","1"
"Doubao-Seed-Code 251028","8.2","6.4","5.53","3.73","5.03","5.18","1"
"Kimi-K2-Thinking","6.42","6.52","5.95","4.58","5.83","4.15","1"
"Qwen3-Coder-plus 0923","7.27","6","2.62","6.92","5.83","4.17","0"
"kimi-k2-0905-preview","0.6","5.69","5.67","3","4.25","5.5","0"
"Doubao-Seed-1.6(Think)","5.4","6.7","4.45","5.62","5.03","4.93","1"
"MiniMax M2","7.57","4.9","3.2","5.95","4.7","5.82","1"
"Qwen3-Coder-480B-A35B","0.7","7.12","6.37","3.53","3.2","5.72","0"
"Claude Haiku 4.5","4.87","5.58","5.03","5.45","4.5","5.43","0"
"Ling-1T","5.4","6.85","3.67","4.72","3.73","5.67","0"
"GLM-4.6","6.75","4.4","2.87","6.53","4.77","3.97","0"
"KAT-Coder","5.13","6.67","1.67","3.92","5","4.85","0"
"Doubao-Seed-1.6","4.6","5.02","3","4.23","3.17","4.33","0"
