Model,MacOS App(C),Flutter(D),Web(E),Game(F),Unprompted,Scaffold,Think
GPT-5.5 (high),7/A,6/A,2/A,10/A,1,Codex App,1
Opus 4.6,9/A,Skip,8/B+,11/B,3,Claude Code,0
GPT-5.3-Codex (high),8/A,7/B+,9/B,13/B,0,Codex App,1
GPT-5.4 (high),9/A,7/A,8/B,14/B,2,Codex CLI,1
GPT-5.2-Codex (high),7/A,9/B+,10/C+,Skip,0,Codex CLI,1
Opus 4.5,8/B,13/B,13/B,Skip,4,Claude Code,0
Sonnet 4.6,Skip,Skip,Skip,18/C+,1,Claude Code,1
DeepSeek V4 Pro (max),16/C,8/B,17/C,30/C,0,Claude Code,1
GLM-5.1,19/C+,13/B,15/B,41/D,3,Claude Code,1
DeepSeek V4 Pro (high),33/C,12/C,30/D,32/D,1,Claude Code,1
Sonnet 4.5,13/B,20/D+,30/C,Skip,0,Claude Code,1
DeepSeek V4 Flash (max),FAILED(5/12),15/C,27/C,38/D,0,Claude Code,1
K2.6-code-preview,FAILED(5/12),16/C,17/D+,Skip,0,Kimi Code,1
Qwen3.6-Plus,FAILED(5/12),13/C,29/D+,FAILED(3/9),0,Claude Code,1
GLM-5,FAILED(7/12),36/C,25/C,Skip,0,OpenCode,1
Seed-2.0-Code (high),FAILED(7/12),35/C,30/C,FAILED(3/9),1,Trae,1
MiniMax-M2.5,FAILED(7/12),25/D+,41/D,FAILED(2/9),0,Claude Code,1
Kimi-K2.5 (Think),FAILED(2/12),37/D,32/D,FAILED(2/9),0,OpenCode,1
MiniMax-M2.1,FAILED(2/12),26/C,44/D,Skip,1,Claude Code,1
MiMo-V2.5-Pro,Skip,FAILED(6/9),35/C,Skip,0,Claude Code,1
MiMo-V2-Pro,Skip,Skip,47/D,Skip,0,OpenCode,1
GLM-4.7,FAILED(2/12),FAILED(3/9),FAILED(5/11),Skip,0,Claude Code,1
