"Model","MacOS App","Flutter","Web","Game","Rust App","Unprompted","IDE/CLI","Think"
"GPT-5.5 (high)","7/A","6/A","2/A","12/A","47/B","1","Codex App","1"
"GPT-5.4 (high)","9/A","10/A","8/B","18/B","58/C","1","Codex CLI","1"
"Claude Opus 4.6","9/A","11/A","12/B+","15/B","66/C","4","Claude Code","0"
"Claude Opus 4.5","9/B","14/B","18/B","Skip","Skip","4","Claude Code","0"
"Claude Sonnet 4.6(Think)","Skip","Skip","Skip","26/C+","69/C","1","Claude Code","1"
"Gemini 3.5 Flash (high)","21/C","15/B","20/C","17/B","Pending","3","Gemini CLI","1"
"GLM-5.1","20/C+","14/B","15/B","60/D","Failed(2/9)","3","Claude Code","1"
"DeepSeek V4 Pro (max)","16/C","8/B","21/C","36/C","Failed(0/9)","0","Claude Code","1"
"Qwen3.7-Max","Failed(2/12)","14/B","17/C+","46/D","Pending","0","Claude Code","1"
"DeepSeek V4 Pro (high)","37/C","20/C","41/D","41/D","Skip","1","Claude Code","1"
"Kimi-K2.6 (Think)","49/D","17/C","33/C","Failed(8/9)","Failed(6/9)","0","Kimi Code","1"
"DeepSeek V4 Flash (max)","Failed(5/12)","19/C","32/C","48/D","Skip","0","Claude Code","1"
"Qwen3.6-Plus(Think)","Failed(5/12)","16/C","43/D+","Failed(3/9)","Failed(0/9)","0","Claude Code","1"
"Tencent Hy3 Preview","Pending","27/C","34/C","Pending","Failed(0/9)","0","Claude Code","1"
"Doubao-Seed-2.0-Code  (high)","Failed(7/12)","40/C","39/C","Failed(3/9)","Skip","1","TRAE","1"
"MiMo-V2.5-Pro","Skip","Failed(6/9)","42/C","Skip","Skip","0","Claude Code","1"
"MiniMax-M2.5","Failed(7/12)","29/D+","57/D","Failed(2/9)","Skip","0","Claude Code","1"
