模型,原始分数,百分制,较上次变更,测试时间
ChatGPT GPT-4 0409,168.937,84.47,-,24-4
Claude3 Opus,104.727,52.36,-,24-4
百度文心一言 4.0,108.956,54.48,-,24-4
Kimi,98.417,49.21,-,24-4
Gemini Pro 1.5,89.037,44.52,-,24-4
通义千问 2.1.1,78.597,39.30,-,24-4
ChatGLM-4,80.906,40.45,-,24-4
商汤商量Pro,77.623,38.81,-,24-4
百川3,76.866,38.43,-,24-4
腾讯混元 1.7.3,69.434,34.72,-,24-4
讯飞星火 3.5,67.506,33.75,-,24-4
MiniMax abab6.5,64.08,32.04,-,24-4
Step-1V,59.481,29.74,-,24-4
字节豆包,55.044,27.52,-,24-4
ChatGPT 3.5,37.054,18.53,-,24-4
昆仑天工3.0,14.056,7.03,-,24-4
