报告日期,,原始分数,百分制,较上次变更,测试时间
2024-05,GPT-4 Turbo 0409,192.629,77.05,-,24-5
2024-05,GPT-4o 0513,176.649,70.66,-,24-5
2024-05,文心一言 4.0-0329,147.335,58.93,+12.92(28%),24-5
2024-05,Claude3 Opus,133.189,53.28,-,24-5
2024-05,YI-Large,128.853,51.54,-,24-5
2024-05,文心一言 4.0-0104,115.027,46.01,-,24-5
2024-05,通义qwen-max-0428,107.538,43.02,-,24-5
2024-05,文心一言 3.5-0329,103.9,41.56,+25.58(160%),24-5
2024-05,Kimi,99.69,39.88,-,24-5
2024-05,DeepSeekV2,98.635,39.45,-,24-5
2024-05,Gemini Pro 1.5,93.729,37.49,-,24-5
2024-05,商汤 日日新5.0,85.649,34.26,-,24-5
2024-05,ChatGLM-4,82.521,33.01,-,24-5
2024-05,腾讯 混元1.7.3,77.001,30.80,-,24-5
2024-05,MiniMax abab6.5,76.147,30.46,-,24-5
2024-05,百川3,75.439,30.18,-,24-5
2024-05,阶跃星辰 Step-1V,67.974,27.19,-,24-5
2024-05,字节豆包,60.764,24.31,-,24-5
2024-05,讯飞 星火3.5,60.506,24.20,-,24-5
2024-05,文心一言 3.5-1222,39.962,15.98,-,24-5
2024-05,ChatGPT 3.5,39.712,15.88,-,24-5
2024-05,昆仑天工3.0,15.056,6.02,-,24-5
