模型,原始分数,百分制,较上次变更,发布时间
GPT-4 Turbo 0409,214.629,76.65,-,24-04-09
GPT-4o 0513,194.649,69.52,-,24-05-13
Claude Sonnet 3.5 0620,176.158,62.91,-,24-06-20
文心一言 4.0-0613,168.121,60.04,-,24-06-13
DeepSeek Coder V2 0724,163.584,58.42,+0.01(1.7%),24-07-24
DeepSeek Coder V2,163.547,58.41,-,24-06-18
Mistral large 2407,161.705,57.75,-,24-07-24
DeepSeek V2 0628,154.513,55.18,+15.61(39.5%),24-06-28
Claude3 Opus,153.189,54.71,-,24-03-04
Gemini Pro 1.5 0514,152.775,54.56,+17.61(46.9%),24-05-14
YI-Large,143.853,51.38,-,24-05-13
GPT-4 0613,133.848,47.80,-,23-06-13
文心一言 3.5-0701,128.793,46.00,+2.8(6.4%),24-07-25
天工3.0,126.21,45.08,-,24-5月
文心一言4.0 Turbo 0628,126.058,45.02,-,24-06-28
GPT-4o mini,124.724,44.54,-,24-07-18
文心一言 3.5-0613,120.952,43.20,-,24-06-13
Kimi,116.168,41.49,-,24-04-18
字节豆包 240615,115.206,41.15,-,24-06-18
通义qwen-max-0428,113.038,40.37,-,24-04-28
百川4,110.887,39.60,-,24-05-22
ChatGLM4-0520,104.608,37.36,-,24-06-05
腾讯 hunyuan-pro,97.64,34.87,-,24-04-25
商汤 日日新5.0,96.399,34.43,-,24-04-23
讯飞 星火4.0,91.092,32.53,-,24-06-27
阶跃星辰 Step-1V,80.974,28.92,-,24-03-23
MiniMax abab6.5,79.397,28.36,-,24-04-17
