"模型","极限分数","中位分数","中位差距","变更","平均耗时(秒)","Token","测试成本(元)","价格(元/百万)","发布时间","Think"
"O1 Preview","86.55","-","-","-","-","-","-","-","24-09-12","1"
"O1 mini preview","74.89","-","-","-","-","-","-","-","24-09-12","1"
"Sonnet 3.5 1022","72.44","-","-","-","-","-","-","-","24-10-22","0"
"GPT-4 Turbo 0409","70.83","-","-","-","-","-","-","-","24-04-09","0"
"Gemini Exp 1114","69.93","-","-","+13.86(24.7%)","-","-","-","-","24-11-14","0"
"GPT-4o 1120","67.57","-","-","-","-","-","-","-","24-11-20","0"
"Qwen-max-0919","61.04","-","-","-","-","-","-","-","24-09-19","0"
"GLM-4 Plus","59.38","-","-","-","-","-","-","-","24-08-29","0"
"Grok2 0813","59.24","-","-","-","-","-","-","-","24-08-13","0"
"Qwen2.5-72b","56.53","-","-","-","-","-","-","-","24-09-19","0"
"DeepSeek V2.5","55.62","-","-","-","-","-","-","-","24-09-05","0"
"Step-2","54.36","-","-","-","-","-","-","-","24-09-03","0"
"ERNIE 4.0-0613","52.12","-","-","-","-","-","-","-","24-06-13","0"
"YI-Lightning","50.68","-","-","-","-","-","-","-","24-10-16","0"
"Llama3.1-405b","50.02","-","-","-","-","-","-","-","24-07-24","0"
"Mistral large 2407","49.92","-","-","-","-","-","-","-","24-07-24","0"
"hunyuan turbo 1017","49.53","-","-","-","-","-","-","-","24-10-17","0"
"Opus 3","47.20","-","-","-","-","-","-","-","24-03-04","0"
"MiniMax abab7-preview","45.48","-","-","+23.67(108.5%)","-","-","-","-","24-11-20","0"
"Mistral large 2411","43.99","-","-","-5.93","-","-","-","-","24-11-18","0"
"Kimi","40.81","-","-","-","-","-","-","-","24-10月","0"
"Doubao 240828","39.67","-","-","-","-","-","-","-","24-08-28","0"
"ERNIE 3.5-0701","38.78","-","-","-","-","-","-","-","24-07-25","0"
"TianGong 3.0","35.92","-","-","-","-","-","-","-","24-5月","0"
"hunyuan turbo 1120","35.07","-","-","-14.46","-","-","-","-","24-11-20","0"
"GPT-4o mini","34.07","-","-","-","-","-","-","-","24-07-18","0"
"Baichuan4 Turbo","33.82","-","-","+1.52(4.7%)","-","-","-","-","24-11-01","0"
"SenseNova 5.5","32.05","-","-","-","-","-","-","-","24-08-01","0"
"Spark 4.0 Ultra","28.99","-","-","-","-","-","-","-","24-09-24","0"
