报告日期,,原始分数,百分制,较上次变更,发布时间
2024-12,O1,255.359,94.58,-,24-12-17
2024-12,gemini-2.0-flash-thinking-exp-1219,205.114,75.97,-,24-12-20
2024-12,O1 mini preview,204.706,75.82,-,24-09-12
2024-12,Claude Sonnet 3.5 1022,188.344,69.76,-,24-10-22
2024-12,DeepSeek V3,184.071,68.17,+19.08(38.8%),24-12-25
2024-12,Gemini Exp 1121,181.808,67.34,-,24-11-14
2024-12,GPT-4o 1120,175.691,65.07,-,24-11-20
2024-12,Gemini 2.0 Flash,166.154,61.54,-,24-12-11
2024-12,Qwen-QWQ 32b,163.789,60.66,-,24-11-28
2024-12,Qwen-max-0919,161.555,59.84,-,24-09-19
2024-12,Qwen-plus 1127,159.767,59.17,-,24-11-27
2024-12,GLM-4 Plus,158.683,58.77,-,24-08-29
2024-12,Grok2 0813,154.019,57.04,-,24-08-13
2024-12,豆包 241215,153.985,57.03,+18.83(49.2%),24-12-18
2024-12,阶跃星辰 Step-2,144.963,53.69,-,24-09-03
2024-12,天工 O1 Preview,142.578,52.81,+18.22(52.6%),24-12-10
2024-12,Qwen-plus 1220,141.43,52.38,-6.79,24-12-20
2024-12,文心一言 4.0-0613,135.502,50.19,-,24-06-13
2024-12,YI-Lightning,131.778,48.81,-,24-10-16
2024-12,hunyuan turbo 1223,131.7,48.78,+14.82(43.6%),24-12-23
2024-12,Llama3.1-405b,130.043,48.16,-,24-07-24
2024-12,MiniMax abab7-preview,121.108,44.85,-,24-11-20
2024-12,Mistral large 2411,114.372,42.36,-,24-11-18
2024-12,Kimi,107.546,39.83,-,24-10月
2024-12,文心一言 3.5-0701,100.817,37.34,-,24-07-25
2024-12,天工3.0,93.38,34.59,-,24-5月
2024-12,GPT-4o mini,90.018,33.34,-,24-07-18
2024-12,Baichuan4 Turbo,87.925,32.56,-,24-11-01
2024-12,日日新5.5,83.324,30.86,-,24-08-01
2024-12,讯飞星火4.0Ultra,75.367,27.91,-,24-09-24
