报告日期,,极限分数,中位分数,较上次变更,发布时间,价格(元/百万)
2025-02,O1,87.74,-,-,24-12-17,432
2025-02,o3 mini medium,85.88,-,+22.3%,25-01-31,32
2025-02,Sonnet 3.7 Thinking,81.73,73.61,-,25-02-19,108
2025-02,DeepSeek R1,79.10,-,-,25-01-20,16
2025-02,Grok3 Thinking,72.07,-,-,25-02-18,-
2025-02,gemini-2.0-flash-thinking-exp-0121,57.13,-,-,25-01-21,-
2025-02,Sonnet 3.7 0219,53.24,-,+19.3%,25-02-19,108
2025-02,Kimi K1.5,53.12,-,-,25-01-20,-
2025-02,GLM Zero preview,52.14,-,-,24-12-30,10
2025-02,Grok3 0218,51.38,-,+47.8%,25-02-18,-
2025-02,豆包 250115,49.53,44.78,-,24-01-22,2
2025-02,DeepSeek V3,47.49,-,-,24-12-25,8
2025-02,gemini-2.0-pro-exp-02-05,45.75,-,+3%,25-02-05,-
2025-02,gemini-2.0-flash-001,45.13,-,+14%,25-02-05,2.88
2025-02,qwen-max-2025-01-25,43.89,-,+26%,25-01-25,9.6
2025-02,GPT-4o 0129,41.27,-,0.3%,25-01-29,72
2025-02,天工 O1 0104,35.41,-,-,25-01-04,-
2025-02,YI-Lightning,34.36,-,-,24-10-16,0.99
2025-02,阶跃星辰 Step-2,34.27,-,-,24-09-03,120
2025-02,Qwen-QWQ 32b,33.37,-,-,24-11-28,6
2025-02,MiniMax-Text-01,31.16,-,-,25-01-13,8
2025-02,qwen-plus-2025-01-12,28.84,-,波动,25-01-12,2
2025-02,hunyuan large 0210,27.54,-,+60.6%,25-02-10,12
2025-02,hunyuan turbo 0109,26.38,-,-,25-01-09,50
2025-02,GLM4 air 0111,24.51,-,-,25-01-16,0.5
2025-02,文心一言 4.0 1025,23.65,-,-,24-10-25,90
2025-02,Mistral large 2411,23.42,-,-,24-11-18,43.2
2025-02,Baichuan4 Turbo,23.02,-,-,24-11-01,15
2025-02,讯飞星火4.0Turbo 0115,21.68,-,-,25-01-15,70
2025-02,日日新5.5,18.42,-,-,24-08-01,20
2025-02,GPT-4o mini,18.05,-,-,24-07-18,4.3
