"模型","原始分数","原始中位","极限分数","中位分数","分差","变更","价格(元/百万)","平均长度(字)","成本(元)","平均耗时(秒)","发布时间"
"OpenAI o3(high)","237.962","235.05","84.99","83.95","-1.24%","-","¥57.60","8000","¥9.68","105","25-04-16"
"OpenAI o4 mini(high)","234.172","221.10","83.63","78.97","-5.91%","-","¥32.00","11000","¥6.57","116","25-04-16"
"Doubao-Seed-1.6(Think)","225.808","200.75","80.65","71.70","-12.48%","-","¥8.00","12367","¥2.04","218","25-06-11"
"Doubao-Seed-1.6-thinking","222.267","195.11","79.38","69.68","-13.92%","+20.4%","¥8.00","20240","¥3.20","360","25-06-11"
"Claude Sonnet 4(Think)","212.458","176.29","75.88","62.96","-20.52%","+16.2%","¥108.00","9300","¥22.01","100","25-05-23"
"Gemini 2.5 Pro","211.782","199.81","75.64","71.36","-5.99%","+2%","¥73.00","8288","¥19.03","71","25-06-05"
"DeepSeek R1 0528","209.208","187.56","74.72","66.99","-11.54%","+14.4%","¥16.00","20482","¥5.37","558","25-05-28"
"Qwen3-235B-A22B(Think)","200.192","176.54","71.50","63.05","-13.40%","-","¥20.00","15400","¥5.75","256","25-04-29"
"Qwen3-32B(Think)","187.939","142.01","67.12","50.72","-32.34%","-","¥20.00","28900","¥9.92","599","25-04-29"
"Gemini 2.5 Flash(Think)","186.163","155.29","66.49","55.46","-19.88%","+1.9%","¥18.00","10907","¥5.40","46","25-05-20"
"Grok3 mini","185.145","170.02","66.12","60.72","-8.89%","-","¥3.65","23600","¥1.61","64","25-04-10"
"Step-R1-V-Mini 0606","182.176","129.32","65.06","46.19","-40.87%","+35.6%","¥8.00","17800","¥2.78","213","25-06-06"
"Qwen3-30B-A3B(Think)","177.8","132.74","63.50","47.41","-33.94%","-","¥7.50","17900","¥2.51","157","25-04-29"
"文心一言X1 Turbo","172.851","139.20","61.73","49.72","-24.17%","+22.9%","¥4.00","13700","¥1.02","241","25-04-24"
"Gemini 2.5 Lite 0617(Think)","165.842","121.34","59.23","43.34","-36.67%","-","¥3.60","19719","¥0.74","52","25-06-17"
"Claude Opus 4","163.89","149.74","58.53","53.48","-9.45%","-","¥540.00","1353","¥13.94","37","25-05-23"
"SenseNova-V6-Reasoner","160.512","134.15","57.33","47.91","-19.65%","-","¥16.00","12185","¥3.64","247","25-04-10"
"GPT 4.1 mini","154.392","135.88","55.14","48.53","-13.62%","-","¥11.60","4000","¥0.84","24","25-04-15"
"MiniMax-M1","150.945","122.72","53.91","43.83","-23.00%","-","¥8.00","13600","¥1.73","294","25-06-17"
"hunyuan T1 0521","149.634","120.74","53.44","43.12","-23.94%","+19.9%","¥4.00","16567","¥1.32","192","25-05-21"
"DeepSeek V3 0324","148.207","119.08","52.93","42.53","-24.46%","-","¥8.00","5032","¥0.74","122","25-03-24"
"Claude Sonnet 4","145.98","128.71","52.14","45.97","-13.42%","+33.3%","¥108.00","1243","¥2.97","17","25-05-23"
"Qwen3-235B-A22B","122.292","100.56","43.68","35.92","-21.61%","-","¥8.00","1260","¥0.19","19","25-04-29"
"GPT 4.1","120.888","87.51","43.17","31.25","-38.14%","-","¥58.00","3600","¥3.90","26","25-04-15"
"GPT-4o 0326","119.429","101.15","42.65","36.13","-18.07%","-","¥108.00","2394","¥4.84","15","25-03-27"
"Gemini 2.5 Flash","113.092","91.74","40.39","32.76","-23.28%","-9.4%","¥18.00","6267","¥1.06","18","25-05-20"
"GLM-Z1-Flash","109.75","60.59","39.20","21.64","-81.13%","-","-","15440","-","91","25-04-15"
"SenseNova-V6-Pro","109.015","66.86","38.93","23.88","-63.04%","-","¥9.00","2492","¥0.42","30","25-04-10"
"Magistral Medium 2506(Think)","106.143","76.77","37.91","27.42","-38.26%","-","¥36.00","24010","¥12.66","331","25-06-08"
"文心一言4.5 Turbo","104.983","79.84","37.49","28.51","-31.50%","+55.6%","¥3.20","5500","¥0.33","101","25-04-24"
"Mistral Medium 3","104.508","76.04","37.32","27.16","-37.44%","-","¥14.60","2492","¥9.16","92","25-05-07"
"Llama4 Maverick","101.752","91.35","36.34","32.63","-11.39%","-","-","2351","-","20","25-04-05"
"Doubao-Seed-1.6","101.715","70.99","36.33","25.35","-43.28%","+5.3%","¥8.00","2110","¥0.23","13","25-06-11"
"Qwen3-32B","93.833","82.26","33.51","29.38","-14.06%","-","¥8.00","1440","¥0.22","28","25-04-29"
"hunyuan TurboS 0604","91.332","73.98","32.62","26.42","-23.45%","+18.3%","¥2.00","6275","¥0.22","62","25-06-04"
"Grok3 Beta","84.725","-","30.26","-","-","-","¥108.00","2837","¥5.75","21","25-04-10"
"讯飞星火X1 0420","84.507","51.26","30.18","18.31","-64.87%","-","-","4922","-","151","25-04-20"
"GLM-4-Air-0414","79.178","69.47","28.28","24.81","-13.97%","-","¥0.50","3800","¥0.04","67","25-04-14"
"Gemini 2.5 Lite 0617","72.449","59.91","25.87","21.40","-20.92%","-","¥3.60","7195","¥0.13","10","25-06-17"
"YI-Lightning","67.89","-","24.25","-","-","-","¥0.99","1525","¥0.03","73","24-10-16"
"Baichuan4 Turbo","48.795","-","17.43","-","-","-","¥15.00","915","¥0.25","18","24-11-01"
