报告日期,模型,原始分数,原始中位,极限分数,中位分数,中位差距,变更,价格(元/百万),平均长度(字),使用成本(元),平均耗时(秒),发布时间,备注
2025-08,GPT-5(high),251.501,242.39,89.82,86.57,3.62%,-,¥72.00,8653,¥31.50,226,25-08-07,官方API不支持调节温度
2025-08,GPT-5 Mini(high),237.945,228.72,84.98,81.69,3.88%,-,¥14.40,12922,¥6.30,210,25-08-07,官方API不支持调节温度
2025-08,Grok4,229.808,219.01,82.07,78.22,4.70%,+35.2%,¥108.00,1826,¥37.83,182,25-07-10,
2025-08,OpenAI o3(high),216.692,199.67,77.39,71.31,7.86%,-,¥57.60,8000,¥9.68,105,25-04-16,
2025-08,OpenAI o4 mini(high),213.172,196.63,76.13,70.22,7.76%,-,¥32.00,11000,¥6.57,116,25-04-16,
2025-08,DeepSeek V3.1(Think),198.982,159.09,71.07,56.82,20.05%,+14%,¥16.00,31700,¥6.74,644,25-08-19,
2025-08,gpt-oss-120b(high),187.939,161.82,67.12,57.79,13.90%,-,¥3.60,13741,¥0.51,39,25-08-05,
2025-08,Claude Sonnet 4(Think),184.791,144.53,66.00,51.62,21.79%,+16.2%,¥108.00,9300,¥22.01,100,25-05-23,
2025-08,Qwen3-235B-A22B-2507(Think),180.446,159.41,64.45,56.93,11.66%,+14.5%,¥20.00,29395,¥10.05,367,25-07-25,使用推荐温度0.6
2025-08,Doubao-Seed-1.6(Think),177.141,146.09,63.26,52.17,17.53%,-,¥8.00,12367,¥2.24,244,25-06-11,
2025-08,Gemini 2.5 Pro,176.115,152.81,62.90,54.58,13.23%,+2%,¥72.00,8288,¥18.77,71,25-06-05,
2025-08,DeepSeek R1 0528,174.208,145.89,62.22,52.10,16.25%,+14.4%,¥16.00,20482,¥5.37,558,25-05-28,官方API不支持调节温度
2025-08,Doubao-Seed-1.6-thinking-0715,171.045,147.87,61.09,52.81,13.55%,-,¥8.00,20572,¥3.39,290,25-07-14,使用推荐温度1.0
2025-08,Qwen3-235B-A22B-2507,161.268,132.25,57.60,47.23,17.99%,+54%,¥8.00,7593,¥0.83,214,25-07-21,
2025-08,GLM-4.5(Think),159.364,118.12,56.92,42.18,25.88%,-,¥8.00,26920,¥3.30,572,25-07-28,使用推荐温度0.3
2025-08,Qwen3-30B-A3B-2507(Think),156.174,138.96,55.78,49.63,11.02%,+14.7%,¥7.50,25723,¥3.02,133,25-07-29,使用推荐温度0.7
2025-08,Hunyuan T1 0711,155.133,127.13,55.40,45.40,18.05%,+29.9%,¥4.00,22105,¥1.76,272,25-07-11,
2025-08,GPT-5 Chat,152.265,116.47,54.38,41.60,23.51%,-,¥72.00,3079,¥4.07,15,25-08-07,
2025-08,GLM-4.5-Air(Think),151.831,136.86,54.23,48.88,9.86%,-,¥2.00,28092,¥0.86,263,25-07-28,使用推荐温度0.3
2025-08,Claude Opus 4,146.033,122.31,52.15,43.68,16.25%,-,¥540.00,1353,¥13.94,37,25-05-23,
2025-08,gpt-oss-20b(high),143.033,117.20,51.08,41.86,18.06%,-,¥1.44,22216,¥0.34,26,25-08-05,
2025-08,Gemini 2.5 Flash(Think),139.735,99.43,49.91,35.51,28.84%,+1.9%,¥18.00,10907,¥5.40,46,25-05-20,
2025-08,Step-3,137.93,112.72,49.26,40.26,18.28%,-,¥8.00,25460,¥3.19,675,25-07-31,注释8
2025-08,Qwen3-32B(Think),133.606,88.68,47.72,31.67,33.63%,-,¥20.00,28900,¥9.92,599,25-04-29,
2025-08,SenseNova-V6.5-Pro,133.063,98.56,47.52,35.20,25.93%,+12.9%,¥9.00,30079,¥5.27,816,25-07-26,
2025-08,DeepSeek V3.1,131.303,104.15,46.89,37.20,20.68%,-,¥8.00,4419,¥0.61,126,25-08-19,
2025-08,DeepSeek V3 0324,129.778,93.08,46.35,33.24,28.28%,-,¥8.00,5032,¥0.74,122,25-03-24,
2025-08,MiniMax-M1,115.898,85.62,41.39,30.58,26.12%,-,¥8.00,13600,¥1.73,294,25-06-17,使用推荐温度1.0([https://github.com/MiniMax-AI/MiniMax-M1](https://github.com/MiniMax-AI/MiniMax-M1?tab=readme-ov-file#31-inference-parameters))
2025-08,GLM-4.5,113.144,90.64,40.41,32.37,19.89%,-,¥8.00,6415,¥0.88,117,25-07-28,
2025-08,讯飞星火X1 0725,110.825,85.94,39.58,30.69,22.45%,+91.1%,¥12.00,14892,¥3.38,337,25-07-25,
2025-08,Claude Sonnet 4,110.456,89.95,39.45,32.12,18.57%,+33.3%,¥108.00,1243,¥2.97,17,25-05-23,
2025-08,GPT 4.1 mini,110.392,93.84,39.43,33.51,15.00%,-,¥11.60,4000,¥0.84,24,25-04-15,
2025-08,文心一言X1 Turbo,104.851,88.20,37.45,31.50,15.88%,+22.9%,¥4.00,13700,¥1.02,241,25-04-24,官方API不支持调节温度
2025-08,Qwen3-30B-A3B-2507,102.795,86.05,36.71,30.73,16.29%,-,¥3.00,9813,¥0.33,59,25-07-29,
2025-08,GPT 4.1,102.221,74.66,36.51,26.66,26.97%,-,¥58.00,3600,¥3.90,26,25-04-15,
2025-08,GPT-4o 0326,99.429,87.49,35.51,31.24,12.01%,-,¥108.00,2394,¥4.84,15,25-03-27,
2025-08,kimi-k2-0711-preview,94.625,70.86,33.79,25.31,25.11%,-,¥16.00,7325,¥1.25,276,25-07-11,使用推荐温度0.6([https://huggingface.co/moonshotai/Kimi-K2-Instruct#5-model-usage](https://huggingface.co/moonshotai/Kimi-K2-Instruct#5-model-usage))
2025-08,ERINE-4.5 Turbo,91.078,69.41,32.53,24.79,23.79%,+55.6%,¥3.20,5500,¥0.33,101,25-04-24,
2025-08,Gemini 2.5 Flash,83.282,63.93,29.74,22.83,23.24%,-9.4%,¥18.00,6267,¥1.06,18,25-05-20,
2025-08,Llama4 Maverick,82.815,72.70,29.58,25.96,12.22%,-,-,2351,-,20,25-04-05,
2025-08,ERNIE-4.5-300B-A47B,81.557,63.89,29.13,22.82,21.66%,-,¥3.20,3789,¥0.19,69,25-06-29,
2025-08,GLM-4.5-Air,79.054,53.31,28.23,19.04,32.57%,-,¥2.00,7219,¥0.23,65,25-07-28,
2025-08,Doubao-Seed-1.6,76.081,52.02,27.17,18.58,31.62%,+5.3%,¥8.00,2110,¥0.23,13,25-06-11,
2025-08,Magistral Medium 2506(Think),75.762,40.39,27.06,14.43,46.69%,-,¥36.00,24010,¥12.66,331,25-06-08,
2025-08,Qwen3-32B,74.5,65.93,26.61,23.55,11.50%,-,¥8.00,1440,¥0.22,28,25-04-29,
