"模型","原始分数","原始中位","极限分数","中位分数","中位差距","变更","平均耗时(秒)","Token","测试成本(元)","价格(元/百万)","发布时间"
"GPT-5(high)","251.101","241.49","89.68","86.25","3.83%","-","308","15176","¥42.11","¥72.00","25-08-07"
"GPT-5 Mini(high)","232.345","222.22","82.98","79.37","4.36%","-","189","20887","¥8.42","¥14.40","25-08-07"
"Claude Sonnet 4.5(Think)","232.226","195.37","82.94","69.78","15.87%","+29%","193","11317","¥34.22","¥108.00","25-09-29"
"Grok4","221.908","209.91","79.25","74.97","5.41%","+35.2%","207","13636","¥41.24","¥108.00","25-07-10"
"Grok4 Fast(Think)","209.669","189.74","74.88","67.76","9.50%","-","69","11969","¥1.21","¥3.60","25-09-19"
"DeepSeek V3.2(Think)","192.564","151.65","68.77","54.16","21.25%","-","587","15035","¥1.26","¥3.00","25-09-29"
"gpt-oss-120b(high)","178.239","149.07","63.66","53.24","16.36%","-","47","6044","¥0.61","¥3.60","25-08-05"
"Qwen3-235B-A22B-2507(Think)","175.546","151.71","62.70","54.18","13.58%","+14.5%","419","20213","¥11.32","¥20.00","25-07-25"
"Doubao-Seed-1.6 1015 (Think)","174.236","146.04","62.23","52.16","16.19%","+0.5%","355","12730","¥2.85","¥8.00","25-10-16"
"Ring-1T","173.728","129.00","62.05","46.07","25.75%","-","777","22482","¥10.07","¥16.00","25-10-14"
"Doubao-Seed-1.6(Think)","173.341","140.99","61.91","50.35","18.67%","-","258","11101","¥2.49","¥8.00","25-06-11"
"Gemini 2.5 Pro","171.815","147.11","61.36","52.54","14.38%","+2%","92","10981","¥22.14","¥72.00","25-06-05"
"Gemini 2.5 Flash 0925(Think)","168.574","130.06","60.21","46.45","22.84%","+26%","40","10123","¥5.10","¥18.00","25-09-25"
"Qwen3-Max","168.017","147.30","60.01","52.61","12.33%","+5.2%","128","4717","¥3.17","¥24.00","25-09-24"
"Doubao-Seed-1.6-thinking-0715","165.945","141.07","59.27","50.38","14.99%","-","333","16194","¥3.63","¥8.00","25-07-14"
"Qwen3-Next-80B-A3B(Think)","155.949","122.54","55.70","43.77","21.42%","-","420","28772","¥8.06","¥10.00","25-09-12"
"GLM-4.6(Think)","155.441","111.91","55.51","39.97","28.00%","+3%","130","10040","¥2.25","¥8.00","25-09-30"
