报告日期,,原始分数,原始中位,极限分数,中位分数,价格(元/百万),平均Token,成本,平均耗时/s,发布时间
2025-05,Gemini 2.5 Pro 0506,122.049,117.68,64.24,61.94,73,7277,¥10.09,79,25-05-06
2025-05,Doubao-1.5-thinking-vision-pro,116.481,111.40,61.31,58.63,9,4094,¥0.70,169,25-05-12
2025-05,OpenAI o4 mini(high),109.169,93.89,57.46,49.41,32,8759,¥5.33,85,25-04-16
2025-05,Sonnet 3.7 Thinking,92.972,82.52,48.93,43.43,108,6584,¥13.51,90,25-02-19
2025-05,Sonnet 3.7 0219,86.015,79.62,45.27,41.90,108,1363,¥2.80,24,25-02-19
2025-05,Step R1 mini,81.973,75.31,43.14,39.63,8,5228,¥0.79,81,25-04-08
2025-05,SenseNova-V6-Reasoner,76.41,69.75,40.22,36.71,16,2316,¥0.70,90,25-04-10
2025-05,SenseNova-V6-Pro,75.49,57.11,39.73,30.06,9,689,¥0.12,18,25-04-10
2025-05,文心一言4.5 Turbo VL,69.812,68.38,36.74,35.99,9,592,¥0.10,17,25-04-24
2025-05,Qwen-qvq-max,60.574,54.867,31.88,28.88,32,4874,¥2.96,314,25-03-25
2025-05,Qwen-vl-max-2025-04-02,57.942,52.108,30.50,27.43,9,967,¥0.17,23,25-04-02
2025-05,glm-4v-plus-0111,55.818,47.86,29.38,25.19,4,342,¥0.03,19,25-01-11
2025-05,Doubao-1.5-vision,55.278,55.278,29.09,29.09,9,611,¥0.10,20,25-01-22
2025-05,hunyuan-turbos-vision,52.342,38.968,27.55,20.51,9,759,¥0.13,21,25-04-07
2025-05,MiniMax-Text-01,50.755,47.18,26.71,24.83,8,587,¥0.09,24,25-01-13
