"模型","极限分数","中位分数","中位差距","价格(元/百万)","平均Token","成本","平均耗时/s","发布时间","Think"
"Gemini 2.5 Pro","64.09","61.80","3.58%","73","7277","¥10.09","79","25-05-06","1"
"Seed-1.6-vision (Think)","60.58","55.85","7.82%","8","6695","¥1.02","83","25-08-15","1"
"o4 mini (high)","59.79","53.40","10.69%","32","8759","¥5.33","85","25-04-16","1"
"Seed-1.6-thinking-0715","55.39","50.87","8.15%","8","6104","¥0.93","118","25-07-14","1"
"GLM-4.5V","53.26","49.42","7.22%","6","2814","¥0.32","51","25-08-11","1"
"Seed-1.6-vision","48.89","43.74","10.53%","8","2263","¥0.34","29","25-08-15","0"
"Step-3","48.85","45.34","7.19%","8","6033","¥0.92","294","25-07-31","1"
"Step-R1-V-Mini 0606","47.77","39.64","17.03%","8","4224","¥0.64","53","25-06-06","1"
"Sonnet 4 (Think)","47.57","38.83","18.37%","108","2895","¥5.94","42","25-05-23","1"
"Sonnet 4","45.53","41.21","9.48%","108","931","¥1.91","17","25-05-23","0"
"ERNIE 4.5 Turbo VL 0829","45.31","39.99","11.74%","9","3433","¥0.59","245","25-08-29","1"
"Qwen-vl-max-2025-08-13","44.36","40.00","9.83%","4","2520","¥0.19","115","25-08-13","0"
"hunyuan-t1-vision 0619","42.68","37.55","12.02%","9","6009","¥1.03","115","25-06-19","1"
"SenseNova-V6-Reasoner","40.71","37.38","8.18%","16","2316","¥0.70","90","25-04-10","1"
"Seed-1.6","39.30","35.32","10.15%","8","1006","¥0.15","23","25-06-11","0"
"GLM-4.1V-Flash","38.79","33.87","12.67%","-","2484","-","22","25-07-02","0"
"hunyuan-turbos-vision 0619","38.05","34.54","9.23%","9","1188","¥0.20","31","25-06-19","0"
"SenseNova-V6-Pro","34.41","26.68","22.47%","9","689","¥0.12","18","25-04-10","0"
"ERNIE 4.5 Turbo VL","33.45","32.73","2.14%","9","592","¥0.10","17","25-04-24","0"
"Qwen-qvq-max","31.29","28.43","9.12%","32","4874","¥2.96","314","25-03-25","1"
"Qwen-vl-max-2025-04-02","27.51","24.60","10.60%","9","967","¥0.17","23","25-04-02","0"
"MiniMax-Text-01","25.17","23.38","7.10%","8","587","¥0.09","24","25-01-13","0"
