"模型","原始分数","原始中位","极限分数","中位分数","中位差距","价格(元/百万)","平均Token","成本","平均耗时/s","发布时间"
"Gemini 2.5 Pro","128.174","123.59","64.09","61.80","3.58%","¥72.0","7277","¥9.95","79","25-05-06"
"GPT-5(high)","123.453","107.58","61.73","53.79","12.86%","¥72.0","6271","¥8.58","182","25-08-07"
"Doubao-Seed-1.6-vision(Think)","121.168","111.693","60.58","55.85","7.82%","¥8.0","6695","¥1.02","83","25-08-15"
"qwen3-vl-235b-a22b(Think)","116.421","106.995","58.21","53.50","8.10%","¥20.0","5031","¥1.91","101","25-09-24"
"Doubao-Seed-1.6-thinking-0715","110.778","101.75","55.39","50.87","8.15%","¥8.0","6104","¥0.93","118","25-07-14"
"GLM-4.5V","106.519","98.83","53.26","49.42","7.22%","¥6.0","2814","¥0.32","51","25-08-11"
"Doubao-Seed-1.6-vision","97.779","87.487","48.89","43.74","10.53%","¥8.0","2263","¥0.34","29","25-08-15"
"Step-3","97.699","90.68","48.85","45.34","7.19%","¥8.0","6033","¥0.92","294","25-07-31"
"Qwen3-vl-235b-a22b","95.765","91.242","47.88","45.62","4.72%","¥8.0","1590","¥0.24","34","25-09-24"
"Claude Sonnet 4(Think)","95.135","77.66","47.57","38.83","18.37%","¥108.0","2895","¥5.94","42","25-05-23"
"Claude Sonnet 4","91.055","82.42","45.53","41.21","9.48%","¥108.0","931","¥1.91","17","25-05-23"
"文心一言4.5 Turbo VL 0829","90.626","79.99","45.31","39.99","11.74%","¥9.0","3433","¥0.59","245","25-08-29"
"Qwen-vl-max-2025-08-13","88.716","79.995","44.36","40.00","9.83%","¥4.0","2520","¥0.19","115","25-08-13"
"hunyuan-t1-vision 0619","85.359","75.097","42.68","37.55","12.02%","¥9.0","6009","¥1.03","115","25-06-19"
"SenseNova-V6-Reasoner","81.41","74.75","40.71","37.38","8.18%","¥16.0","2316","¥0.70","90","25-04-10"
"Doubao-Seed-1.6","78.605","70.63","39.30","35.32","10.15%","¥8.0","1006","¥0.15","23","25-06-11"
"hunyuan-turbos-vision 0619","76.099","69.074","38.05","34.54","9.23%","¥9.0","1188","¥0.20","31","25-06-19"
"SenseNova-V6-Pro","68.823","53.36","34.41","26.68","22.47%","¥9.0","689","¥0.12","18","25-04-10"
"MiniMax-Text-01","50.338","46.77","25.17","23.38","7.10%","¥8.0","587","¥0.09","24","25-01-13"
